Date,Stretch
01/04/2017,160000
02/04/2017,320000
03/04/2017,480000
04/04/2017,640000
05/04/2017,800000
06/04/2017,960000
07/04/2017,1120000
08/04/2017,1280000
09/04/2017,1440000
10/04/2017,1600000
11/04/2017,1760000
12/04/2017,1920000
13/04/2017,2080000
14/04/2017,2240000
15/04/2017,2400000
16/04/2017,2560000
17/04/2017,2720000
18/04/2017,2880000
19/04/2017,3040000
20/04/2017,3200000
21/04/2017,3360000
22/04/2017,3520000
23/04/2017,3680000
24/04/2017,3840000
25/04/2017,4000000
26/04/2017,4160000
27/04/2017,4320000
28/04/2017,4480000
29/04/2017,4640000
30/04/2017,4800000
01/05/2017,4960000
02/05/2017,5120000
03/05/2017,5280000
04/05/2017,5440000
05/05/2017,5600000
06/05/2017,5760000
07/05/2017,5920000
08/05/2017,6080000
09/05/2017,6240000
10/05/2017,6400000
11/05/2017,6560000
12/05/2017,6720000
13/05/2017,6880000
14/05/2017,7040000
15/05/2017,7200000
16/05/2017,7360000
17/05/2017,7520000
18/05/2017,7680000
19/05/2017,7840000
20/05/2017,8000000
21/05/2017,8160000
22/05/2017,8320000
23/05/2017,8480000
24/05/2017,8640000
25/05/2017,8800000
26/05/2017,8960000
27/05/2017,9120000
28/05/2017,9280000
29/05/2017,9440000
30/05/2017,9600000
31/05/2017,9760000
01/06/2017,9920000
02/06/2017,10080000
03/06/2017,10240000
04/06/2017,10400000
05/06/2017,10560000
06/06/2017,10720000
07/06/2017,10880000
08/06/2017,11040000
09/06/2017,11200000
10/06/2017,11360000
11/06/2017,11520000
12/06/2017,11680000
13/06/2017,11840000
14/06/2017,12000000
15/06/2017,12160000
16/06/2017,12320000
17/06/2017,12480000
18/06/2017,12640000
19/06/2017,12800000
20/06/2017,12960000
21/06/2017,13120000
22/06/2017,13280000
23/06/2017,13440000
24/06/2017,13600000
25/06/2017,13760000
26/06/2017,13920000
27/06/2017,14080000
28/06/2017,14240000
29/06/2017,14400000
30/06/2017,14560000
